Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	turnover
16500	-611.9819	-510.8275	-101.1545	20.9626	0.05487219	0.1443979	0.05439792	0.0552522	4	26.14144	0.1987958	17.2156	12.5416	12.3803	7.41822	12.0203	0.2736371
17000	-611.641	-499.739	-111.9019	25.24784	0.03373571	0.07502476	0.1962535	0.02254633	3	28.45759	0.2712783	18.8581	9.23456	9.60861	7.88063	14.7808	0.7234399
17500	-601.983	-498.7616	-103.2214	24.98708	0.0483739	0.1772973	0.03684235	0.03327862	4	28.72308	0.2141397	20.0776	8.40228	6.87909	7.34732	15.9191	0.1720482
18000	-619.0445	-503.4656	-115.5788	28.23725	0.03103987	-0.007506812	0.1915554	0.03671765	4	29.63009	0.1840485	16.5381	9.90817	9.01045	8.96014	17.7238	1.040787
18500	-613.8426	-504.7697	-109.0729	26.60537	0.04341104	0.06651214	0.01653772	0.03361664	4	27.39852	0.08304986	16.9224	6.27796	7.76021	9.96694	17.321	0.19913
19000	-619.9482	-509.555	-110.3932	24.59541	0.04221969	0.0125526	0.1754396	0.01948334	4	26.9264	0.1879922	16.9042	6.02561	8.6727	9.43033	17.7479	0.9332281
19500	-610.4603	-504.4067	-106.0536	26.21176	0.04044083	0.1441312	0.06277598	0.02637367	4	29.76815	0.2069072	17.1885	9.34985	9.67214	8.20612	14.7912	0.3034016
20000	-611.9537	-503.3035	-108.6502	23.40309	0.04484268	0.05632003	0.1117859	0.03621664	4	24.8879	0.168106	16.5725	7.56431	7.95602	9.2174	20.1369	0.664973
20500	-609.7072	-504.5398	-105.1674	23.10453	0.04671585	0.122295	0.1170705	0.02763102	4	24.09526	0.2393656	17.7724	9.70693	10.221	11.1258	15.7226	0.4890868
21000	-607.9352	-504.9471	-102.9881	24.05203	0.04918791	0.1177821	0.06873568	0.01911591	4	24.58178	0.1865178	17.7108	9.34057	11.3507	8.87796	14.6572	0.3685208
21500	-605.1906	-497.7787	-107.4119	28.03872	0.04753503	0.01184368	0.2087341	0.01843708	4	28.19736	0.2205778	16.7993	13.6894	11.8108	9.38195	22.7585	0.9463061
22000	-611.4977	-502.194	-109.3037	27.05301	0.03274867	0.1290846	0.0340986	0.04968872	4	27.47411	0.1631832	17.4946	12.0159	6.4145	10.0072	12.2061	0.208959
22500	-602.0509	-497.1867	-104.8642	26.25243	0.04890971	0.1561925	0.02252055	0.05013433	4	29.43811	0.178713	16.8812	12.9898	13.4726	9.28311	22.6063	0.1260151
23000	-606.0385	-500.0809	-105.9575	22.22177	0.03679648	0.1471297	0.05183663	0.03063262	4	27.50512	0.1989664	17.2918	10.5239	10.1265	9.00867	17.1108	0.2605296
23500	-619.2471	-507.1707	-112.0764	21.04901	0.04000567	0.06771023	0.1061436	0.01975467	2	29.83598	0.1738538	17.6712	10.9825	10.3096	8.74855	16.0406	0.6105335
24000	-627.6383	-507.185	-120.4532	28.10389	0.02851954	0.1105727	0.07577528	0.1003084	4	29.15326	0.1863479	18.5052	7.0401	6.93148	10.6493	18.9626	0.4066333
24500	-620.4549	-513.2989	-107.156	22.8772	0.04696215	0.1097201	0.06527192	0.07234028	4	28.68378	0.174992	17.132	9.27251	13.0354	7.44557	16.2138	0.3729995
25000	-606.9423	-501.4353	-105.507	16.58765	0.06145606	0.1284661	0.1060249	0.01670045	3	25.58199	0.234491	16.4651	6.47708	7.79338	7.41416	12.6674	0.4521491
25500	-607.3665	-506.4318	-100.9347	24.72205	0.04882523	0.1041047	0.002874995	0.1012753	5	25.27665	0.1069797	16.1538	14.9396	15.4229	8.43278	11.6779	0.02687422
26000	-620.2989	-511.4765	-108.8224	26.65313	0.03847814	0.07907179	0.06945913	0.03861125	4	28.11715	0.1485309	18.7358	11.8634	11.9102	10.2843	17.9618	0.4676408
26500	-606.4538	-502.1866	-104.2672	23.4111	0.05309918	0.1382312	0.05366291	0.0423513	4	25.52052	0.1918941	16.4215	7.32904	6.49593	7.41384	20.0319	0.2796486
27000	-609.7477	-502.0858	-107.6619	23.54779	0.04440375	0.1450079	0.09727963	0.01014739	4	26.72919	0.2422875	19.2332	15.8528	14.308	9.05348	18.241	0.401505
27500	-614.7896	-502.0786	-112.711	25.90965	0.03512137	0.0613068	0.1544665	0.0154239	3	27.59002	0.2157733	17.8438	14.4499	11.6265	10.1891	20.9344	0.7158741
28000	-622.1438	-509.9357	-112.2081	27.6973	0.0251725	0.05625684	0.07197703	0.03196719	4	27.82029	0.1282339	18.7736	7.11598	11.1341	10.8509	21.2118	0.561295
28500	-613.6301	-501.4769	-112.1532	26.02117	0.05019203	0.1584265	0.1411443	0.04169526	3	26.15682	0.2995708	20.402	7.96868	7.78525	10.9756	17.7285	0.4711551
29000	-608.1003	-500.5247	-107.5756	27.68292	0.03864338	0.04767254	0.1346692	0.0227112	4	29.59993	0.1823417	17.8875	10.751	13.0032	10.0914	13.7207	0.7385539
29500	-607.1085	-500.2371	-106.8714	24.96368	0.04331938	0.08398478	0.148888	0.007919428	4	27.90566	0.2328727	16.6596	9.31148	9.83858	7.79931	13.0569	0.6393533
30000	-611.1045	-505.0491	-106.0554	23.32937	0.04593588	0.1797261	0.05953218	0.02598507	4	24.67761	0.2392582	17.9672	11.3496	10.9871	8.49514	17.4976	0.2488198
30500	-611.6533	-508.905	-102.7483	24.00079	0.0459169	0.07555175	0.02446856	0.02438666	5	27.18465	0.1000203	19.0471	9.43777	9.18988	7.67546	14.56	0.2446359
31000	-618.9896	-506.7405	-112.2491	22.82185	0.03751405	0.01367995	0.07229774	0.05976532	4	24.4556	0.0859777	16.1513	9.21333	5.39842	10.6815	14.5953	0.8408895
31500	-626.3936	-513.5692	-112.8245	25.87924	0.03310429	0.08785732	0.09400781	0.007692947	4	28.66836	0.1818651	18.3974	13.8494	5.92309	8.40426	17.6474	0.5169095
