Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	branch_rates_sd	diversification	extinction_rate	fossil_samp_rate	ln_branch_rates_mean	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	turnover
127500	-472.4865	-506.1105	33.62405	21.70822	0.0457539	0.0441442	0.0490155	0.0435029	0.0614303	0.0518038	0.043094	0.0595858	0.0422723	0.034137	0.0541806	0.05661	0.0553295	0.0582469	0.0486629	0.0808722	0.0473663	0.0479492	0.0329974	0.0386817	0.0620528	0.034862	0.0419995	0.0535929	0.047077	0.0361106	0.0388721	0.0486278	0.0457361	0.0449875	0.0421431	0.055719	0.0414388	0.0630518	0.032791	0.0363999	0.0474194	0.0453091	0.0416359	0.0333814	0.0403233	0.0417517	0.04388601	0.2185066	0.05265617	0.131223	0.06560749	-3.12616	5	23.94077	0.1838791	12.3458	18.8829	8.33059	15.8934	15.5095	0.7136371
128000	-491.4067	-499.4594	8.052673	23.88418	0.0291577	0.0203201	0.0320749	0.0449675	0.0442864	0.0309124	0.0381762	0.0340404	0.0174671	0.0524176	0.0349948	0.0254905	0.02724	0.0280361	0.0350432	0.0268099	0.0200901	0.0324392	0.0405118	0.0315028	0.0187829	0.0292968	0.029067	0.0528618	0.0337815	0.0753342	0.0703087	0.032018	0.015785	0.0175938	0.0364526	0.0202003	0.0437247	0.0223162	0.0591587	0.0399988	0.0248288	0.0206187	0.0403514	0.0299982	0.01861	0.0307616	0.02815563	0.3614208	-0.0227308	0.1532819	0.02032347	-3.570008	3	28.47862	0.1305511	12.0258	16.9035	11.5105	6.97783	11.46	1.174114
128500	-403.0544	-500.0274	96.97306	27.3174	0.028789	0.0255511	0.0282519	0.0276228	0.0281625	0.0251574	0.0297854	0.0257186	0.0252119	0.026434	0.0253495	0.0255747	0.026429	0.0290809	0.0249104	0.0271566	0.0272302	0.0267175	0.0278725	0.0279603	0.0270166	0.0307452	0.0253618	0.0275647	0.0272703	0.028775	0.0272145	0.0272055	0.0260597	0.0278471	0.0276335	0.025943	0.025104	0.0275996	0.0247239	0.0262009	0.0284089	0.0261962	0.0281729	0.0262529	0.0255698	0.0284122	0.02658914	0.04806083	0.02118489	0.1287044	0.0167999	-3.627252	2	29.26962	0.1498893	12.7395	17.1061	10.758	7.23111	7.16554	0.8586631
129000	-392.4259	-502.0985	109.6726	27.87839	0.047298	0.0457879	0.0422148	0.0441321	0.045836	0.0441036	0.0432063	0.0430219	0.0433199	0.043578	0.0452034	0.0440613	0.0456936	0.0437252	0.0446324	0.0440781	0.0451275	0.041244	0.0422969	0.0455536	0.0431	0.0424109	0.0470611	0.0446525	0.0459977	0.044578	0.0433079	0.0439724	0.0437497	0.0427982	0.0459667	0.044577	0.0445184	0.04425	0.0427332	0.0430213	0.042995	0.0441319	0.0461167	0.0441813	0.0437782	0.0422183	0.04375127	0.0280333	0.06252858	0.03782098	0.04760115	-3.129235	4	28.42131	0.1003496	22.925	16.0347	9.80493	8.66346	7.97535	0.3768923
129500	-427.9751	-507.8063	79.83126	27.01824	0.0283998	0.0314052	0.0301	0.0347775	0.0314668	0.0310407	0.0285611	0.0345425	0.0390076	0.0344097	0.0298929	0.0305961	0.0367538	0.0343436	0.0318222	0.0345291	0.0361273	0.0323762	0.0335393	0.0334457	0.0334613	0.0313095	0.0322952	0.0345266	0.0349607	0.0287437	0.0364125	0.028602	0.0306703	0.0331169	0.0303366	0.0362892	0.0389172	0.0331278	0.0315762	0.0351199	0.0278563	0.0305052	0.0343458	0.0286838	0.0320751	0.0348584	0.03226308	0.09474012	0.1062445	0.04508739	0.02055314	-3.433832	4	29.2943	0.1513319	16.3849	16.9507	8.98863	11.0427	7.38331	0.2979371
130000	-437.8602	-507.5657	69.70559	23.49712	0.0305595	0.0276897	0.0294464	0.0283441	0.0278081	0.0301807	0.019596	0.026621	0.0267774	0.0286245	0.0289725	0.0345533	0.0295657	0.0282596	0.0367583	0.0268411	0.0342702	0.0331782	0.0318071	0.0278228	0.0271625	0.0251416	0.0246386	0.0279494	0.029933	0.0256366	0.0345346	0.0338544	0.0309532	0.0273392	0.0305168	0.0242744	0.0289284	0.0279926	0.031908	0.0276742	0.0218373	0.0310157	0.0276162	0.030653	0.0327224	0.0251084	0.02853625	0.1204707	0.1243204	0.01747255	0.01324278	-3.55658	4	24.80364	0.141793	20.5308	19.424	10.9141	15.136	14.3636	0.1232258
130500	-399.1681	-506.5145	107.3465	23.31677	0.0369892	0.0347739	0.0375206	0.0346437	0.0356529	0.0368754	0.0373283	0.037281	0.0371178	0.0366264	0.0346476	0.036924	0.0394377	0.0361289	0.0365245	0.0378881	0.0410433	0.0388885	0.0341604	0.0352135	0.0358747	0.0339541	0.0369766	0.0372381	0.0365085	0.0353365	0.0362175	0.0362047	0.037314	0.0360136	0.03673	0.0377788	0.0371134	0.0384088	0.0358081	0.0363211	0.037227	0.035198	0.0376176	0.0371382	0.0345319	0.0371943	0.03602745	0.04160534	0.05065409	0.1568596	0.02528862	-3.323474	4	23.50625	0.2075137	17.8882	16.9812	8.87502	5.71487	5.65735	0.7559
131000	-442.8864	-512.0645	69.17808	18.93659	0.0657997	0.0691315	0.0678288	0.0621462	0.0695195	0.0731741	0.0687528	0.0596843	0.068431	0.059644	0.0624856	0.0683531	0.0600597	0.0648165	0.0676755	0.0579339	0.062678	0.0587694	0.0613578	0.0722875	0.0642544	0.0637309	0.059039	0.0764811	0.0619844	0.0696516	0.0652519	0.0647357	0.0703622	0.0592887	0.064418	0.0730322	0.0660389	0.068464	0.0632348	0.0601006	0.0666642	0.0553721	0.0731427	0.0637154	0.0599492	0.0683104	0.06592364	0.06987415	0.09739098	0.0844452	0.05119171	-2.719258	5	23.68608	0.1818362	16.234	20.0924	8.17138	13.7629	15.374	0.4644026
131500	-427.3718	-510.1415	82.7697	25.12994	0.0431703	0.0445881	0.0494619	0.0423199	0.0452095	0.0495444	0.0464009	0.0448319	0.0472531	0.0447281	0.0472575	0.0452388	0.0472485	0.0484079	0.0423891	0.0509378	0.0456951	0.0497423	0.0496092	0.0446598	0.048742	0.0463162	0.0433658	0.0431914	0.0464648	0.0450325	0.0425591	0.0473314	0.0509519	0.0431335	0.0476922	0.0430531	0.0489136	0.0477307	0.0468818	0.0454565	0.047969	0.0477044	0.0462035	0.0469167	0.0418211	0.0454513	0.04570691	0.05513607	0.1070252	0.1132263	0.01864822	-3.085506	2	26.18146	0.2202515	17.7404	17.1079	9.08055	9.75671	12.6953	0.5140775
132000	-475.8704	-499.4667	23.59634	24.38491	0.0597639	0.0657229	0.0455213	0.0643735	0.0551201	0.0673396	0.0387327	0.0501862	0.0451565	0.0546164	0.0379626	0.0546703	0.0515724	0.0313696	0.0705878	0.0595143	0.0715287	0.0498529	0.0533212	0.0409019	0.055041	0.0410232	0.0561302	0.0554198	0.0439469	0.0761119	0.0486221	0.0621759	0.041821	0.0293948	0.0481347	0.0734044	0.0513978	0.0533169	0.0569936	0.0401069	0.0589972	0.057039	0.0804208	0.0429927	0.0725999	0.0745915	0.05402925	0.2046055	0.06160836	0.1530105	0.04886199	-2.91823	5	24.50504	0.2146189	21.1223	16.467	8.4001	13.6462	13.0537	0.7129406
132500	-416.2914	-503.5385	87.24715	26.86104	0.0462957	0.047005	0.047013	0.0436906	0.0470714	0.0474477	0.0479477	0.0490788	0.0488279	0.0532884	0.0486348	0.0417001	0.0485442	0.0478643	0.0500414	0.0491363	0.0532843	0.044289	0.0502532	0.0477762	0.0509122	0.0480221	0.0444173	0.0462927	0.0478455	0.0439049	0.0484318	0.0502551	0.0506812	0.0505316	0.0501372	0.0525055	0.051676	0.0455	0.0492685	0.0480673	0.0471144	0.050288	0.0493809	0.050957	0.050618	0.0464364	0.04819689	0.05125959	0.06590415	0.1684261	0.02310369	-3.032461	4	27.87164	0.2343303	20.3264	19.9728	8.34923	7.64251	8.78836	0.7187553
133000	-375.2941	-507.293	131.9989	21.43023	0.0510769	0.0508774	0.0520733	0.0525108	0.0523084	0.0510794	0.0512344	0.0510273	0.0498107	0.0513634	0.0507772	0.0510146	0.0491904	0.0501537	0.0496915	0.0511017	0.0527411	0.050894	0.0519773	0.0523924	0.0508344	0.0512435	0.0515037	0.050002	0.0533575	0.0509894	0.0522225	0.0517589	0.0518959	0.0514991	0.0512581	0.0504494	0.0520045	0.0525609	0.0513638	0.0508841	0.0513679	0.0522186	0.0523827	0.0507618	0.0530358	0.0519824	0.05149572	0.01958129	0.09185828	0.07411804	0.0639301	-2.966257	4	25.73671	0.1659763	18.957	16.0698	9.63263	12.0207	8.88339	0.4465579
133500	-351.9904	-505.275	153.2845	27.90012	0.0506471	0.0510798	0.0504223	0.05078	0.0511572	0.0511266	0.0509739	0.0508539	0.0505544	0.0498702	0.0507075	0.0509895	0.0505074	0.0510108	0.0503979	0.050988	0.0509198	0.050601	0.050362	0.0504141	0.0512232	0.0511701	0.0511593	0.0505414	0.0501406	0.0510771	0.0495721	0.0507288	0.0506474	0.0507668	0.0500542	0.0515217	0.051518	0.050897	0.0505391	0.0502146	0.050587	0.0501022	0.0512048	0.0498522	0.0497001	0.0513472	0.05053355	0.009102913	0.05846327	0.04788069	0.03265952	-2.985118	4	28.04089	0.106344	17.7166	17.9562	8.81348	11.4827	12.7691	0.4502436
134000	-394.2223	-512.3998	118.1775	24.62228	0.0505741	0.0503968	0.0521791	0.0513969	0.0493489	0.0536778	0.052288	0.0499915	0.0544467	0.0510136	0.0514832	0.0534471	0.0504504	0.0499563	0.0526405	0.0517193	0.0506696	0.0524612	0.0506571	0.0511982	0.0500068	0.0520175	0.0536448	0.0535466	0.0496577	0.0524998	0.0510544	0.0511892	0.0519752	0.0530762	0.0521149	0.051718	0.0505074	0.0518143	0.0523482	0.0509969	0.051549	0.0505534	0.0519133	0.050367	0.0521819	0.0508992	0.0515441	0.02115081	0.02073303	0.1534334	0.03371553	-2.965318	3	26.37746	0.1741664	21.1664	17.9126	7.75955	14.6085	11.8322	0.8809585
134500	-351.1035	-501.3186	150.2151	28.12711	0.0372336	0.0372882	0.0366687	0.0369646	0.0367053	0.0367712	0.0371519	0.0371976	0.0375668	0.0367346	0.0365055	0.0368391	0.0364248	0.0370877	0.0369342	0.0366926	0.0367287	0.0370134	0.0373033	0.0371625	0.0372169	0.0365834	0.0360988	0.0365961	0.0366986	0.0361758	0.0355636	0.03604	0.0372163	0.0371839	0.036985	0.0364157	0.0372933	0.0368192	0.0371853	0.0361464	0.0359929	0.0374468	0.0362467	0.0365492	0.0366405	0.0367004	0.03677625	0.01031487	0.05677976	0.1029869	0.0156285	-3.302903	2	28.51928	0.1597666	17.922	17.3988	8.70099	7.57299	9.00127	0.6446082
135000	-403.3888	-502.4415	99.05262	27.78464	0.03965	0.0416961	0.0413474	0.0413274	0.0397194	0.0408102	0.0375447	0.0371207	0.0411256	0.0378124	0.037389	0.0387496	0.0414662	0.0457404	0.0410481	0.0381871	0.0388391	0.0390797	0.0405774	0.0411646	0.0405441	0.0382675	0.0399848	0.038185	0.0362684	0.04096	0.0387309	0.0373998	0.036743	0.0399921	0.0399195	0.0419689	0.0384975	0.0392668	0.0403414	0.0411589	0.0369602	0.0382886	0.0380329	0.0409989	0.0405892	0.0400895	0.03933262	0.04059551	0.0867068	0.03131705	0.02644776	-3.235701	4	28.30715	0.1180239	17.6861	19.8653	8.22878	10.6357	12.2968	0.2653451
135500	-435.0773	-498.3974	63.32013	21.3695	0.0392502	0.0403956	0.0377475	0.0388708	0.0391559	0.0420896	0.0409995	0.0399563	0.0385091	0.0328799	0.0401708	0.0363466	0.0449331	0.0332469	0.035878	0.0367321	0.0426282	0.0373097	0.0436915	0.0389376	0.0413635	0.0441706	0.034811	0.0419988	0.0479904	0.0473004	0.0378452	0.0400082	0.0342319	0.0377382	0.0473065	0.0339918	0.044719	0.0382237	0.0496929	0.0324492	0.0447415	0.0441996	0.0453572	0.0405049	0.0412578	0.0362563	0.04055326	0.09980266	0.06850734	0.08437779	0.08913797	-3.205139	4	24.00531	0.1528851	11.757	16.0041	8.2099	12.2906	12.1483	0.5519032
136000	-499.0897	-503.3944	4.304759	22.25709	0.0164288	0.0775571	0.067151	0.0565002	0.0358078	0.0448651	0.0276884	0.0377309	0.0496822	0.0586885	0.0406558	0.0158083	0.0442069	0.0332624	0.0349655	0.0285248	0.0349628	0.0523493	0.0198856	0.0272872	0.0936439	0.0468687	0.0266272	0.0750356	0.0640664	0.0479592	0.0413418	0.0525956	0.0511822	0.058037	0.0219434	0.0669616	0.0708314	0.0456261	0.0434831	0.0292595	0.0324735	0.0269114	0.0419038	0.0373412	0.0537435	0.0317739	0.04268127	0.3979891	0.1136285	0.04808581	0.03938403	-3.153995	4	23.36852	0.1617143	18.4039	17.8016	7.7295	5.53678	5.45195	0.2973504
136500	-412.072	-514.1409	102.0689	27.05713	0.038509	0.0339144	0.0387691	0.0372585	0.0367202	0.0350824	0.0364021	0.0382888	0.0348436	0.0357193	0.0360968	0.0376047	0.0369606	0.0369591	0.036782	0.0371564	0.0360586	0.0367737	0.0389258	0.0360274	0.0395645	0.0366409	0.0373218	0.0361563	0.0357602	0.0359664	0.0384757	0.0379484	0.0347175	0.0364725	0.0353913	0.035864	0.0353957	0.0375127	0.0368992	0.0361956	0.0391631	0.0378119	0.0387154	0.0359666	0.0384052	0.0338478	0.03670466	0.03084963	0.06655343	0.05961648	0.05407211	-3.304852	4	29.39263	0.1261699	19.1188	16.5651	11.3109	8.23258	8.45884	0.4725095
137000	-415.5046	-506.2752	90.7706	23.13776	0.0501824	0.0451558	0.0426599	0.0461778	0.0464205	0.0444152	0.0469545	0.0448493	0.046611	0.0450769	0.0500697	0.0453652	0.0464119	0.0467501	0.0429041	0.0498653	0.0466359	0.0472027	0.0461587	0.0438064	0.0501684	0.0448423	0.047667	0.0447495	0.047862	0.0450174	0.0458983	0.0498321	0.0443517	0.0465097	0.0509979	0.0456178	0.0444646	0.0458691	0.0478613	0.0406028	0.0439327	0.0451019	0.0460324	0.0434553	0.0451507	0.0479016	0.04586164	0.05156677	0.1585981	0.1236178	0.05322017	-3.082126	4	24.65594	0.2822159	15.2383	17.4478	9.02563	12.1638	12.9471	0.4380257
137500	-379.944	-503.0102	123.0662	27.55557	0.0366187	0.0372534	0.0351266	0.0364526	0.0370045	0.0351056	0.0369836	0.0359046	0.0370524	0.0371803	0.0366343	0.0374087	0.0356635	0.0368206	0.0361187	0.0367126	0.0364229	0.0376428	0.0365223	0.037556	0.0375151	0.0347801	0.0357799	0.037829	0.0362117	0.0360161	0.0356803	0.0367331	0.0359309	0.0377163	0.0362731	0.0367459	0.0366076	0.0352162	0.0356437	0.0372413	0.0362393	0.0364756	0.0343909	0.0348919	0.0369383	0.0344864	0.0364954	0.02425529	0.08606506	0.02686837	0.02805073	-3.310569	3	27.98703	0.1129334	17.2411	16.4322	9.87031	11.1147	15.0922	0.2379133
138000	-471.0794	-511.4567	40.37729	20.91148	0.0412654	0.0518091	0.0496099	0.0585262	0.0522081	0.0409354	0.0444894	0.0421517	0.0447952	0.0393679	0.0471719	0.0401109	0.0396387	0.0491928	0.0472998	0.045343	0.0475571	0.0421833	0.0422978	0.0822097	0.0451545	0.0423496	0.0364423	0.0575749	0.048264	0.0537489	0.0448983	0.0437369	0.0442015	0.0436707	0.047885	0.0469096	0.0414364	0.0460831	0.0428586	0.044203	0.0486611	0.0546769	0.0579635	0.033602	0.0449137	0.0464237	0.04437205	0.1692878	0.05249905	0.02953869	0.03125386	-3.115146	4	29.6556	0.08203774	13.1393	17.5208	8.73087	8.79534	12.5065	0.3600622
138500	-493.268	-510.6363	17.36834	26.01316	0.0347953	0.0444029	0.046665	0.0605714	0.0321294	0.0548701	0.0892511	0.0360933	0.0351811	0.0399638	0.0236754	0.0490351	0.0238482	0.0314467	0.0303292	0.0263071	0.0443209	0.0333805	0.0484993	0.0322305	0.0342246	0.0607286	0.0305754	0.0349677	0.0624128	0.0479466	0.0573184	0.0811881	0.0388809	0.0518854	0.033129	0.042111	0.0360018	0.0459984	0.0475096	0.0298437	0.0222539	0.0398958	0.0306427	0.0431577	0.0496967	0.0316313	0.04216368	0.2943559	0.07721248	0.1080286	0.03328462	-3.166196	4	28.19862	0.1852411	19.0354	19.7931	8.07897	8.4352	11.8641	0.5831785
139000	-397.5796	-498.3576	100.7781	23.00438	0.0350067	0.0382031	0.0398555	0.0351782	0.0366203	0.0385731	0.0417455	0.0342123	0.037139	0.0366886	0.0369907	0.0361431	0.0370267	0.0362755	0.0349303	0.0350603	0.0357781	0.0348441	0.0401372	0.0369942	0.0345652	0.038043	0.0364959	0.0377164	0.0390515	0.0378468	0.0364616	0.0351966	0.0373095	0.0351764	0.0381016	0.0354033	0.0372705	0.0359652	0.0405534	0.0373557	0.0396231	0.0383422	0.0364482	0.0357706	0.0391343	0.0362071	0.03699497	0.04151926	0.1258807	0.0327152	0.07086794	-3.296973	4	26.54848	0.1585959	14.4193	17.0166	8.48271	5.38576	5.50066	0.2062803
139500	-379.6986	-505.6912	125.9926	23.72625	0.0354947	0.0346358	0.0352896	0.0348303	0.0354525	0.0359905	0.0344197	0.0364905	0.0352346	0.0344557	0.0357193	0.0366886	0.0354321	0.0341896	0.0348493	0.035632	0.0342682	0.0335023	0.0366168	0.0353414	0.0340628	0.035277	0.035146	0.0358677	0.0344122	0.035929	0.0365456	0.0355288	0.0344792	0.0366979	0.0335103	0.0338625	0.0354852	0.0344856	0.0360848	0.0352957	0.0351533	0.0359996	0.0342534	0.0354466	0.034399	0.0341848	0.03544276	0.02173906	0.05906792	0.1155018	0.01302394	-3.339836	3	24.91761	0.1745697	13.0296	18.8309	10.1246	14.6636	9.31479	0.661637
140000	-434.6821	-503.6039	68.92179	25.70262	0.0301827	0.0266676	0.0371481	0.0381408	0.0342586	0.0277446	0.0306522	0.0328336	0.033386	0.0332054	0.031955	0.028092	0.0309619	0.0264336	0.0298733	0.0331013	0.0308664	0.0348597	0.0309612	0.0305859	0.0296683	0.0333677	0.0385817	0.0340424	0.0302234	0.0275909	0.0284687	0.035015	0.0332195	0.0321364	0.0320394	0.0285595	0.0318168	0.0233348	0.0343242	0.0306164	0.0311691	0.0271413	0.0293094	0.0272088	0.0323471	0.0300301	0.03125543	0.1079198	0.04968862	0.1669889	0.01819352	-3.465562	3	26.91879	0.2166775	16.3237	19.6002	9.35849	13.381	12.1701	0.7706794
140500	-389.648	-502.0999	112.4519	23.3081	0.037658	0.0376464	0.0361754	0.0350552	0.0378173	0.0384296	0.0398649	0.0371378	0.0377542	0.0389659	0.0366618	0.0374316	0.0394711	0.0358976	0.0401108	0.0401416	0.0380039	0.0388942	0.0355633	0.0375582	0.0372293	0.036323	0.0401256	0.0375099	0.0373714	0.038167	0.0380226	0.0399095	0.0374308	0.0366371	0.0379404	0.040122	0.0362797	0.0382189	0.0370469	0.0382511	0.0393318	0.0373559	0.0367705	0.0402907	0.0381662	0.0385972	0.03763729	0.03662572	0.09754366	0.07213575	0.03384733	-3.27976	4	26.05443	0.1696794	15.9314	16.0243	11.3776	10.55	10.3178	0.4251297
141000	-311.2784	-504.2805	193.0021	26.0916	0.0362142	0.0364199	0.0364295	0.0364062	0.036281	0.0362997	0.03638	0.0360934	0.0360122	0.0364351	0.0360095	0.036252	0.0362592	0.0363755	0.0365314	0.0362087	0.0364204	0.0359854	0.0364634	0.0364305	0.0361057	0.036287	0.0362389	0.0359001	0.0363184	0.0360403	0.0361532	0.0363674	0.0366208	0.0363305	0.0360931	0.03595	0.0359582	0.0361418	0.0363425	0.0364004	0.0361969	0.0361347	0.0363964	0.0358637	0.0362962	0.0360507	0.03621967	0.005316311	0.06552704	0.1258471	0.04817727	-3.318153	3	26.59944	0.1913741	17.7139	18.1055	7.43598	15.1259	15.477	0.6575972
141500	-319.2006	-502.1739	182.9734	27.49479	0.0365943	0.0361843	0.0363975	0.0362214	0.0361041	0.0366299	0.0367038	0.0364605	0.0366577	0.0363108	0.0365959	0.0362236	0.0360863	0.036381	0.0364298	0.036469	0.0363016	0.0367094	0.0368139	0.0366686	0.0364486	0.0362861	0.0363358	0.0364092	0.0366002	0.0361651	0.0367464	0.0365452	0.0367776	0.0361128	0.0365776	0.0368833	0.0363753	0.0365982	0.0368992	0.0367009	0.036783	0.0362962	0.0364577	0.0363122	0.0367976	0.0364247	0.03652083	0.006455029	0.0737097	0.07589295	0.02347565	-3.309873	3	29.85608	0.1496027	18.0033	18.9808	10.2069	15.5077	11.7228	0.5072968
142000	-319.5451	-504.9838	185.4387	25.53488	0.0365705	0.0358626	0.0361217	0.0363845	0.0359222	0.0359534	0.0364055	0.0362932	0.0361019	0.0366539	0.0360915	0.0360249	0.0365543	0.0362254	0.0363514	0.0364335	0.036309	0.0362764	0.0363877	0.0359686	0.0365334	0.0362511	0.035972	0.0359659	0.0363362	0.0362465	0.035979	0.0363253	0.0361744	0.0360594	0.0361561	0.0363742	0.0363931	0.0364503	0.0361634	0.0363219	0.0357078	0.0359674	0.0364489	0.0361231	0.0359854	0.0358366	0.03618	0.005394637	0.1149973	0.09239724	0.03421379	-3.319249	4	27.93903	0.2073945	17.9234	17.2656	10.7203	11.5751	10.7196	0.4455143
142500	-306.4007	-501.4241	195.0233	29.63443	0.0362777	0.0362617	0.0358472	0.0362488	0.0360158	0.0363628	0.0361559	0.0361766	0.0362199	0.03575	0.0363544	0.0359436	0.0363828	0.0363898	0.0362233	0.0359701	0.0357482	0.0360237	0.0362973	0.0362018	0.0363694	0.0364934	0.0363704	0.0358706	0.036185	0.036327	0.0361624	0.0361422	0.0360665	0.0358501	0.0361723	0.0362275	0.0360394	0.0362544	0.0363094	0.0361623	0.0360354	0.0361275	0.0361994	0.036016	0.0360798	0.0361712	0.03612728	0.004912779	0.0833207	0.02837556	0.01576505	-3.320707	4	29.73395	0.1116963	18.1008	16.1749	7.53078	11.3297	13.8385	0.2540422
143000	-321.9834	-506.2757	184.2923	25.26791	0.0361117	0.0358658	0.0361776	0.0355433	0.0358843	0.0359953	0.0359766	0.035566	0.0357358	0.0357498	0.0360318	0.0358807	0.0354932	0.0357661	0.0357482	0.0357606	0.036143	0.035817	0.0358984	0.0358787	0.0357358	0.0356624	0.0359124	0.0359817	0.0358686	0.0356939	0.03584	0.0361026	0.0362407	0.035483	0.036186	0.0355352	0.035717	0.0360264	0.0358525	0.0360926	0.0362122	0.0355448	0.0359626	0.0360426	0.0358811	0.0351587	0.03589427	0.005770797	0.08640952	0.0493387	0.03099775	-3.327178	4	29.21587	0.1357482	15.2001	16.4785	10.4325	15.9254	13.6627	0.3634575
143500	-392.4581	-504.4184	111.9604	21.63002	0.0402717	0.0408822	0.0432087	0.0416966	0.0402088	0.0411662	0.0426876	0.0411951	0.0419766	0.0405544	0.040994	0.0423676	0.0416669	0.039561	0.0422848	0.0409494	0.0388366	0.0426317	0.041254	0.0401927	0.0430234	0.0418459	0.0394968	0.0400713	0.04103	0.0400854	0.0415567	0.0404422	0.0405005	0.0383066	0.0395028	0.040786	0.0418638	0.0409539	0.0431056	0.0425989	0.0417875	0.0416088	0.0388491	0.0389412	0.0395605	0.0420572	0.04066046	0.03346611	0.1389601	0.03131361	0.02946347	-3.202499	3	29.63573	0.1702737	14.7704	17.5465	10.6253	12.3231	15.4794	0.1839016
144000	-423.9163	-517.5652	93.64888	20.44158	0.0376522	0.0324494	0.0367544	0.0328671	0.0343809	0.0360233	0.0396464	0.0350121	0.0372886	0.0377844	0.0361892	0.0335468	0.0389284	0.0363706	0.0388264	0.0334508	0.0354004	0.0353463	0.0361956	0.0373877	0.0399194	0.03875	0.0338794	0.0371075	0.0354633	0.0351849	0.0348762	0.0379193	0.0339911	0.0363121	0.0366387	0.0396303	0.0382389	0.0384748	0.037851	0.0374219	0.0382115	0.0389342	0.0415274	0.0389505	0.0376985	0.0354188	0.03685025	0.05209177	-0.00820967	0.1771286	0.02057271	-3.300893	3	21.15762	0.168919	15.084	20.3337	8.37119	6.93129	8.50552	1.048601
144500	-401.9265	-498.9814	97.0549	27.70631	0.0431077	0.0438701	0.0451498	0.0437102	0.0463607	0.0426871	0.0438859	0.0419927	0.0424864	0.0458402	0.0424778	0.0449917	0.0443345	0.0428606	0.0421019	0.0450299	0.0446394	0.0450035	0.0466725	0.0444229	0.0447172	0.0437764	0.0413152	0.0406271	0.0400143	0.0416196	0.0428547	0.0434486	0.0451582	0.04313	0.0412452	0.0506629	0.0453907	0.0461398	0.0416557	0.0436186	0.0431494	0.0446033	0.042159	0.0447057	0.0442098	0.0455287	0.04373409	0.04150934	0.08691958	0.1211686	0.02631534	-3.129627	4	29.11116	0.2080882	21.3867	16.6139	7.26357	15.3289	8.00926	0.5822945
145000	-445.7616	-503.8109	58.04932	24.01451	0.0514319	0.044584	0.0442992	0.0469765	0.0454656	0.0501678	0.0417976	0.0456929	0.0462271	0.0392678	0.0433129	0.0509992	0.0338803	0.0407328	0.046612	0.0514201	0.0383834	0.047678	0.0479815	0.0436427	0.0497189	0.0526593	0.0440587	0.0415389	0.0408456	0.0454001	0.0409425	0.0414443	0.0454907	0.0417582	0.0519602	0.0428896	0.0434751	0.0428726	0.0349083	0.0532946	0.0360058	0.0466719	0.0444447	0.0523726	0.0354772	0.043053	0.04393557	0.1027121	0.1990184	0.1080155	0.03077315	-3.125031	4	25.106	0.3070339	14.5623	19.2233	9.20555	11.3025	10.2108	0.3518033
145500	-469.8899	-506.6039	36.71398	22.13132	0.0365116	0.0374508	0.0480244	0.0432397	0.0408608	0.0406075	0.0496679	0.0401086	0.0494732	0.0412217	0.0432987	0.0465069	0.0462699	0.0554711	0.0451041	0.036835	0.0337525	0.0565865	0.0401453	0.0316818	0.0473517	0.0449546	0.0395057	0.0517592	0.0418622	0.0475175	0.0697222	0.04927	0.0374192	0.0591143	0.0492546	0.0591256	0.0437975	0.0371508	0.050792	0.0409074	0.041602	0.0422464	0.0274961	0.0418697	0.0409328	0.0475355	0.04505567	0.1679169	0.1315157	0.09243495	0.02051238	-3.099856	3	23.24242	0.2239506	20.3437	20.0269	9.13183	7.91319	7.79874	0.412747
146000	-375.0293	-513.3877	138.3584	17.78725	0.0457138	0.0442401	0.0445193	0.0472679	0.0451043	0.0454965	0.045047	0.044861	0.0453307	0.0456874	0.0467276	0.0450956	0.0444357	0.0444903	0.0455289	0.0447637	0.045989	0.0457192	0.0459255	0.045535	0.0455062	0.0457122	0.0446672	0.0462068	0.0448954	0.0471948	0.0455866	0.0465588	0.0438134	0.0456938	0.0449841	0.0455728	0.0451125	0.0454864	0.0463119	0.0453794	0.0450797	0.0453532	0.0460085	0.0458092	0.0451201	0.0447443	0.04520131	0.01701119	0.1186994	0.08557646	0.03376142	-3.096629	3	29.26529	0.2042758	15.8728	18.9391	7.74732	8.47864	5.64103	0.418926
