Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	branch_rates_sd	diversification	extinction_rate	fossil_samp_rate	ln_branch_rates_mean	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	turnover
5000	-434.6839	-506.3223	71.63839	22.98681	0.0497835	0.055769	0.0483931	0.0542824	0.0458256	0.0428612	0.0503303	0.0561379	0.0482811	0.0424766	0.048139	0.0448071	0.047344	0.0427907	0.0435226	0.0459761	0.0482652	0.0487459	0.0500756	0.0435356	0.0482372	0.0534717	0.0490837	0.0526924	0.0559066	0.0517466	0.0481344	0.044071	0.0401856	0.0404003	0.0507516	0.0457043	0.0494552	0.0499976	0.0445098	0.0476376	0.0444223	0.0442145	0.0470974	0.0451706	0.0518186	0.0451654	0.04901256	0.09328572	0.122836	0.03277584	0.08282362	-3.015679	5	23.89433	0.1556119	22.9868	16.0085	7.78402	14.534	12.6006	0.2106255
5500	-480.5904	-512.7438	32.15335	17.49069	0.0715509	0.0706541	0.0679798	0.0606518	0.104015	0.0779894	0.0768718	0.081295	0.0822216	0.0752844	0.0884399	0.0764054	0.101138	0.0577775	0.0773046	0.0821016	0.0733162	0.0550803	0.0739446	0.0654184	0.0951671	0.0698876	0.0787032	0.0637882	0.0697445	0.0689992	0.0701042	0.0672045	0.0790678	0.0677957	0.0607746	0.0866484	0.0783879	0.0713291	0.0718818	0.0600679	0.0581577	0.0642396	0.0626092	0.0743652	0.0844566	0.0661371	0.07729056	0.1455174	0.2070924	0.07772302	0.04007616	-2.560183	5	23.79636	0.2848154	11.7881	19.3072	7.97833	9.56924	8.36371	0.2728891
6000	-410.4293	-503.5071	93.07775	20.72571	0.0601382	0.0633538	0.062303	0.0589561	0.0616938	0.0590079	0.0623556	0.0607559	0.0572181	0.0604448	0.0634875	0.0634311	0.0570227	0.0636392	0.0602386	0.0609966	0.0626531	0.0628029	0.0624807	0.0567152	0.0644718	0.0625796	0.0628042	0.0606939	0.0622186	0.0596834	0.0608883	0.0658178	0.0606076	0.0616775	0.0595992	0.0597273	0.0656673	0.0617339	0.0551691	0.0597357	0.0584472	0.0569256	0.0592008	0.0635218	0.0642686	0.0616814	0.06041336	0.04287379	0.1242648	0.04718444	0.03805854	-2.806545	4	23.88839	0.1714492	13.6062	16.5459	7.28222	13.5025	13.3442	0.2752094
6500	-381.1286	-504.6812	123.5526	17.62476	0.0634627	0.0659044	0.0626189	0.06348	0.0637253	0.0629545	0.0652	0.0641932	0.0627132	0.0652958	0.0645674	0.0659924	0.0631546	0.0652277	0.0626771	0.0630149	0.0650012	0.0665241	0.0637632	0.062421	0.0631258	0.0637446	0.0643791	0.0637517	0.0635998	0.0633029	0.0639864	0.0645443	0.0643212	0.062823	0.064735	0.0624686	0.0626879	0.0622052	0.0617853	0.0663744	0.0634791	0.0639491	0.0637542	0.064699	0.0649588	0.0643165	0.06376033	0.01769877	0.1614765	0.1383529	0.03020392	-2.752624	3	27.16674	0.2998294	11.813	17.3702	8.25958	13.3234	10.7338	0.4614386
7000	-460.0968	-501.6603	41.56348	24.75821	0.0553111	0.0386635	0.0471625	0.0510321	0.0525485	0.0581728	0.0462651	0.0652801	0.0427495	0.0395148	0.0524432	0.0469223	0.04029	0.0445909	0.0396544	0.0522577	0.0483733	0.0405602	0.0556603	0.0526684	0.046489	0.0637731	0.0444141	0.0532317	0.0538952	0.0530165	0.0460183	0.0409699	0.0612661	0.0447115	0.0526454	0.051297	0.0529003	0.0420357	0.0504458	0.0699909	0.0511658	0.0634426	0.0613216	0.0504732	0.05571	0.0500754	0.05012876	0.1381708	0.06935382	0.1398593	0.03548493	-2.99316	3	26.06964	0.2092131	20.9385	17.0575	7.71421	6.96967	5.34572	0.6685016
7500	-432.2242	-502.3669	70.14274	26.77766	0.0541709	0.0534056	0.0489037	0.0537449	0.0537026	0.0550213	0.0508662	0.0504083	0.0546372	0.0506776	0.0486052	0.0513235	0.0485356	0.0537903	0.0510337	0.0490467	0.054372	0.0488897	0.0498565	0.0606833	0.0472829	0.0461115	0.0501274	0.0527686	0.0553238	0.0510379	0.0530361	0.0577001	0.0503884	0.0487006	0.0524414	0.0579113	0.0509381	0.0464076	0.0537281	0.0516307	0.0513355	0.0569204	0.0497919	0.0560864	0.052777	0.0546319	0.05255176	0.05513641	-0.03932643	0.176263	0.04509154	-2.945957	4	29.45642	0.1369366	19.2252	16.0468	8.03849	15.8031	13.0374	1.287187
8000	-439.6478	-505.3184	65.67068	24.72363	0.0355459	0.0363728	0.0288831	0.032404	0.031225	0.0339713	0.0326228	0.0312534	0.0383364	0.0329879	0.0339476	0.0353688	0.0351478	0.0302712	0.0332537	0.0370175	0.0306131	0.0307776	0.0353505	0.0325446	0.0416204	0.026734	0.0319662	0.0258322	0.03473	0.0303494	0.0344813	0.0254073	0.0373183	0.029963	0.0364123	0.0302186	0.0317629	0.0343203	0.0389564	0.0310406	0.0264303	0.0330724	0.0415511	0.0331427	0.0341189	0.0295021	0.03188562	0.1030114	0.09797182	0.109083	0.0246842	-3.4456	3	27.36621	0.2070549	21.5234	17.5725	9.21713	12.0671	11.9896	0.5268316
8500	-382.5419	-509.1585	126.6166	26.72018	0.0340859	0.0330087	0.0322392	0.0339591	0.0359492	0.0343401	0.0358012	0.0352626	0.0349146	0.0364879	0.0351223	0.0338169	0.0351436	0.0347875	0.0343704	0.0346784	0.0342736	0.0338208	0.0323961	0.0331252	0.0346033	0.0340168	0.0348283	0.0338774	0.034184	0.0335651	0.0348237	0.0342364	0.0352634	0.0343168	0.0339978	0.0351591	0.0355084	0.0333185	0.033235	0.034008	0.0353774	0.0340833	0.0359317	0.0329423	0.0340479	0.0348163	0.03448923	0.02880565	0.1082943	0.01842348	0.05416648	-3.367108	4	29.23185	0.1267178	13.0752	20.2011	9.21644	15.8668	11.3335	0.1453898
9000	-446.5485	-502.8266	56.27804	28.51062	0.0313609	0.0410185	0.035104	0.0346196	0.0373762	0.0348225	0.0343012	0.0423358	0.0379948	0.0386503	0.034912	0.0360142	0.0328211	0.0327444	0.0313075	0.043115	0.0421949	0.0349765	0.0345099	0.0422856	0.033986	0.0436159	0.0327253	0.0281862	0.0397459	0.0334586	0.0333676	0.0304922	0.0345583	0.0352535	0.0358009	0.0349152	0.0365164	0.0261017	0.0493767	0.0354042	0.0382648	0.0323788	0.0295808	0.0346815	0.0301009	0.0379118	0.03644883	0.1202531	0.05289056	0.09372184	0.03558408	-3.311846	3	29.04177	0.1466124	17.487	16.6569	10.6631	11.3629	9.25757	0.6392491
9500	-440.9633	-505.4707	64.50739	21.20616	0.0565808	0.0518627	0.0537331	0.0574333	0.051143	0.0417233	0.05258	0.0515716	0.0531849	0.0478468	0.0477263	0.054692	0.0472616	0.0526207	0.0504065	0.0586343	0.0511188	0.0566752	0.0553621	0.0526141	0.0560293	0.0533139	0.0620074	0.0447282	0.0507348	0.0540357	0.0471018	0.0562507	0.0561245	0.0514988	0.0439874	0.0501557	0.0505458	0.0510995	0.0604125	0.0565291	0.0534176	0.0484353	0.0465523	0.0495897	0.0544783	0.0568357	0.05239997	0.08127449	0.07408182	0.0624082	0.03971708	-2.948849	3	27.62092	0.13649	13.113	20.1003	10.4226	14.2733	13.8588	0.4572363
